Returned,Order ID,Region
Yes,CA-2012-SA20830140-41210,Central US
Yes,IN-2012-PB19210127-41259,Eastern Asia
Yes,CA-2012-SC20095140-41174,Central US
Yes,IN-2015-JH158207-42140,Oceania
Yes,IN-2014-LC168857-41747,Oceania
Yes,ID-2013-AB1001527-41439,Eastern Asia
Yes,ES-2015-RA1994545-42218,Western Europe
Yes,CA-2014-TB21280140-41724,Central US
Yes,ES-2014-JF15295120-41924,Southern Europe
Yes,IN-2014-NM1844527-41800,Eastern Asia
Yes,IN-2015-GB145307-42260,Oceania
Yes,ES-2012-SC208458-41070,Western Europe
Yes,TU-2013-SF10200134-41417,Western Asia
Yes,ID-2015-RD1993092-42140,Oceania
Yes,CA-2014-TC21295140-41800,Southern US
Yes,SF-2015-MV8190117-42362,Southern Africa
Yes,IN-2014-EM1382566-41850,Eastern Asia
Yes,ES-2015-CC1210045-42182,Western Europe
Yes,ES-2015-MM1792045-42199,Western Europe
Yes,IN-2015-DB1306027-42353,Eastern Asia
Yes,IN-2013-JC157757-41310,Oceania
Yes,CA-2015-RB19705140-42262,Eastern US
Yes,ES-2015-BB1154548-42336,Western Europe
Yes,AL-2012-SC102302-40970,Southern Europe
Yes,UP-2014-MC7275137-41997,Eastern Europe
Yes,IN-2013-EJ13720113-41608,Southeastern Asia
Yes,CA-2012-AJ10780140-41212,Eastern US
Yes,CA-2014-EM14140140-41822,Western US
Yes,ES-2015-RD19585120-42007,Southern Europe
Yes,US-2014-SC20230140-41873,Western US
Yes,IN-2013-JR1570058-41441,Southern Asia
Yes,IN-2013-DL129257-41418,Oceania
Yes,ES-2014-EG1390045-41644,Western Europe
Yes,ES-2013-DB1297045-41458,Western Europe
Yes,CA-2014-CL12565140-41768,Eastern US
Yes,ES-2014-EB13930139-41962,Northern Europe
Yes,IN-2015-ML1739559-42369,Southeastern Asia
Yes,SA-2015-MC7575110-42326,Western Asia
Yes,CA-2014-SS1041023-41995,Eastern Canada
Yes,ID-2015-ST205307-42336,Oceania
Yes,MX-2012-AH1003082-41251,Central America
Yes,ID-2015-MM1726078-42181,Southeastern Asia
Yes,IT-2015-DM1301564-42167,Southern Europe
Yes,IN-2015-JW1595527-42190,Eastern Asia
Yes,CA-2013-SG20080140-41578,Western US
Yes,IN-2014-PF1912027-41916,Eastern Asia
Yes,US-2015-AG1052582-42355,Central America
Yes,IN-2015-PB191057-42281,Oceania
Yes,MX-2015-BS1136518-42199,South America
Yes,IT-2012-MP1817545-41040,Western Europe
Yes,IN-2014-BT1168027-41815,Eastern Asia
Yes,IN-2013-MH180257-41443,Oceania
Yes,ID-2015-LW172157-42293,Oceania
Yes,MX-2014-KA1652539-41922,Central America
Yes,ID-2015-CS123557-42328,Oceania
Yes,IN-2015-KM163757-42342,Oceania
Yes,MX-2013-PK1891082-41532,Central America
Yes,ES-2015-BT1139564-42088,Southern Europe
Yes,MX-2013-CC1243082-41634,Central America
Yes,IT-2015-AR1082545-42290,Western Europe
Yes,ID-2014-CS11860102-41858,Southeastern Asia
Yes,IN-2014-AB1060058-41858,Southern Asia
Yes,IN-2012-CG1204027-41252,Eastern Asia
Yes,AG-2013-PO88653-41634,North Africa
Yes,EG-2015-CM211538-42144,North Africa
Yes,ES-2015-BN1151545-42304,Western Europe
Yes,IN-2014-CL1189066-41999,Eastern Asia
Yes,ID-2015-AA1064559-42332,Southeastern Asia
Yes,ES-2014-JK1609064-41800,Southern Europe
Yes,IN-2015-CD1192059-42326,Southeastern Asia
Yes,IN-2012-ES1408027-40941,Eastern Asia
Yes,MX-2013-DO1364512-41461,Caribbean
Yes,CG-2013-SC1030533-41538,Central Africa
Yes,SI-2015-SM10005115-42252,Southern Europe
Yes,IN-2012-GT1471058-41158,Southern Asia
Yes,ID-2013-SC2080059-41380,Southeastern Asia
Yes,MX-2013-HF1499518-41423,South America
Yes,ES-2012-AG1049545-41002,Western Europe
Yes,IN-2015-SD2048527-42259,Eastern Asia
Yes,CA-2012-PC18745140-41273,Eastern US
Yes,US-2015-DH13075140-42092,Western US
Yes,ES-2015-LR1691545-42237,Western Europe
Yes,SF-2015-CD1920117-42055,Southern Africa
Yes,ES-2012-TT2146045-41014,Western Europe
Yes,IN-2015-PS1904558-42272,Southern Asia
Yes,CA-2015-KL16555140-42313,Southern US
Yes,US-2013-PO1918082-41504,Central America
Yes,ID-2015-JG15310130-42133,Southeastern Asia
Yes,ES-2014-MG17680120-41867,Southern Europe
Yes,ES-2015-RA1994548-42249,Western Europe
Yes,IT-2015-KD1634545-42238,Western Europe
Yes,CA-2012-DP13165140-41244,Eastern US
Yes,CA-2014-EH13765140-41997,Western US
Yes,ID-2015-TB214007-42322,Oceania
Yes,MX-2013-ES1408018-41619,South America
Yes,IN-2012-TB2152059-41207,Southeastern Asia
Yes,ES-2012-MR1754564-41157,Southern Europe
Yes,IN-2015-GW1460558-42173,Southern Asia
Yes,CA-2013-JK15205140-41544,Southern US
Yes,IN-2015-GM1445558-42273,Southern Asia
Yes,CA-2015-MG18145140-42285,Western US
Yes,CA-2013-EM13960140-41548,Western US
Yes,ES-2014-RM1937545-41643,Western Europe
Yes,IN-2012-GG1465027-40992,Eastern Asia
Yes,IN-2014-TB2140066-41873,Eastern Asia
Yes,MX-2015-MP1796518-42189,South America
Yes,US-2012-LT17110140-41060,Southern US
Yes,ES-2013-BF1117048-41527,Western Europe
Yes,ID-2013-CC126857-41572,Oceania
Yes,ES-2013-AJ1094548-41444,Western Europe
Yes,US-2015-GZ14545140-42212,Western US
Yes,ES-2015-BM1165045-42176,Western Europe
Yes,ID-2014-RD197207-41776,Oceania
Yes,MX-2015-DB1336018-42280,South America
Yes,US-2012-CV12295140-40995,Central US
Yes,IT-2013-BF1102045-41418,Western Europe
Yes,IN-2015-LT1676511-42286,Southern Asia
Yes,IN-2015-VB217451-42349,Southern Asia
Yes,IT-2014-JG15115104-41952,Southern Europe
Yes,MX-2012-JP1552018-41174,South America
Yes,MX-2012-RD1993051-41223,Central America
Yes,IN-2015-AT1043559-42243,Southeastern Asia
Yes,IN-2012-SC2069559-41248,Southeastern Asia
Yes,ES-2012-ER13855120-41159,Southern Europe
Yes,ES-2012-TB2162545-41262,Western Europe
Yes,ES-2013-CM124458-41375,Western Europe
Yes,US-2012-BF11170140-41266,Western US
Yes,ID-2014-CJ1187592-41831,Oceania
Yes,RS-2015-GG4650108-42102,Eastern Europe
Yes,ES-2015-KA1652545-42353,Western Europe
Yes,MX-2014-CW1190593-41788,Central America
Yes,MX-2015-SV2078582-42347,Central America
Yes,ES-2012-DJ1351048-40923,Western Europe
Yes,CA-2014-HF14995140-41761,Southern US
Yes,CA-2014-CL12565140-41788,Western US
Yes,CA-2012-LR16915140-41128,Western US
Yes,CA-2015-KH16510140-42347,Western US
Yes,MX-2015-KC1667518-42070,South America
Yes,CA-2014-ON18715140-41959,Southern US
Yes,IN-2013-MA1799559-41314,Southeastern Asia
Yes,IS-2014-RA928563-41916,Western Asia
Yes,IN-2012-TB2162588-41177,Southeastern Asia
Yes,IN-2012-MC1784559-41116,Southeastern Asia
Yes,ID-2014-KH16690144-41991,Southeastern Asia
Yes,ES-2015-AT1073545-42367,Western Europe
Yes,ES-2014-PO1885048-41898,Western Europe
Yes,CA-2015-EB13750140-42111,Southern US
Yes,EG-2015-AC66038-42250,North Africa
Yes,IN-2013-TH2111558-41488,Southern Asia
Yes,ES-2012-GH14485139-41054,Northern Europe
Yes,ES-2014-LL1684048-41986,Western Europe
Yes,CA-2014-NS18640140-41985,Eastern US
Yes,ID-2012-MD1786059-40965,Southeastern Asia
Yes,ES-2012-TB2140048-40968,Western Europe
Yes,RS-2015-TB11520108-42126,Eastern Europe
Yes,ID-2015-BG1169588-42012,Southeastern Asia
Yes,CA-2014-ES14020140-41802,Eastern US
Yes,ES-2015-HG14965120-42080,Southern Europe
Yes,MX-2012-SW2075593-41250,Central America
Yes,CA-2012-BP11095140-41261,Western US
Yes,IN-2014-BG110357-41735,Oceania
Yes,ES-2015-EB1417064-42012,Southern Europe
Yes,MX-2015-EH1418531-42166,Caribbean
Yes,IN-2015-DS1303058-42173,Southern Asia
Yes,CA-2015-AG10900140-42126,Southern US
Yes,ES-2013-DE1325545-41278,Western Europe
Yes,SA-2013-JD6150110-41600,Western Asia
Yes,ID-2015-HA1490592-42287,Oceania
Yes,CA-2013-IM15070140-41459,Central US
Yes,US-2015-TZ2144518-42259,South America
Yes,ES-2015-DK1309045-42158,Western Europe
Yes,MX-2013-PT1909082-41579,Central America
Yes,ES-2015-EB141108-42267,Western Europe
Yes,SF-2014-JD6060117-41648,Southern Africa
Yes,ES-2015-AR1051045-42234,Western Europe
Yes,IN-2013-CL1270027-41555,Eastern Asia
Yes,ES-2015-AH1012045-42057,Western Europe
Yes,IT-2013-ZD2192548-41503,Western Europe
Yes,IN-2014-DJ1342058-41646,Southern Asia
Yes,ES-2014-LC1705048-41718,Western Europe
Yes,MX-2014-AJ1096031-41801,Caribbean
Yes,CA-2014-CP12340140-41808,Eastern US
Yes,IN-2013-JK1609027-41615,Eastern Asia
Yes,AJ-2013-SG108909-41580,Western Asia
Yes,MX-2015-DV1304593-42215,Central America
Yes,ES-2013-TP2156545-41598,Western Europe
Yes,US-2015-HG1484551-42171,Central America
Yes,IN-2014-AM103607-41864,Oceania
Yes,CA-2015-DO13645140-42263,Western US
Yes,ES-2014-JP1552045-41871,Western Europe
Yes,MX-2013-JR1621037-41627,South America
Yes,MX-2013-RL1961582-41572,Central America
Yes,ES-2014-EP1391548-42004,Western Europe
Yes,IN-2013-CD1228058-41311,Southern Asia
Yes,MX-2013-EC1405018-41599,South America
Yes,MX-2013-PO1885051-41338,Central America
Yes,CA-2012-FP14320140-41251,Eastern US
Yes,MX-2012-YS2188093-41060,Central America
Yes,IN-2013-CC1261027-41286,Eastern Asia
Yes,IN-2014-DB1321027-41899,Eastern Asia
Yes,MX-2014-JR1570036-41775,Caribbean
Yes,CA-2013-VD21670140-41583,Southern US
Yes,CA-2014-BM11785140-41835,Central US
Yes,ES-2014-JP16135139-41899,Northern Europe
Yes,US-2012-KB1631598-41064,Central America
Yes,IN-2012-AM10705130-41151,Southeastern Asia
Yes,MX-2015-SC2038093-42151,Central America
Yes,GH-2013-MH729049-41615,Western Africa
Yes,IN-2013-NC1834058-41385,Southern Asia
Yes,CA-2013-EB14110140-41377,Western US
Yes,IN-2015-JF1549078-42334,Southeastern Asia
Yes,ID-2015-HM148607-42243,Oceania
Yes,CA-2014-NS18505140-41968,Central US
Yes,ID-2013-AO1081059-41556,Southeastern Asia
Yes,CA-2015-VW21775140-42326,Eastern US
Yes,MO-2013-NK849086-41366,North Africa
Yes,IN-2014-KL1655592-41857,Oceania
Yes,CA-2014-SN20560140-41817,Central US
Yes,MX-2014-SJ2012539-41908,Central America
Yes,MX-2015-DP1316593-42293,Central America
Yes,ES-2013-MN1793548-41466,Western Europe
Yes,SA-2014-SJ10125110-41944,Western Asia
Yes,IT-2015-ME18010124-42235,Northern Europe
Yes,CA-2015-AD10180140-42340,Eastern US
Yes,ID-2014-TB2125059-41973,Southeastern Asia
Yes,IN-2013-PS187607-41402,Oceania
Yes,CA-2012-MC17425140-41058,Central US
Yes,US-2014-DA134505-41926,South America
Yes,ID-2015-EN137807-42312,Oceania
Yes,MX-2015-CB1241598-42333,Central America
Yes,HU-2015-JP552057-42249,Eastern Europe
Yes,CA-2012-KH16630140-41213,Southern US
Yes,CA-2012-BS11755140-41046,Eastern US
Yes,US-2015-SJ2021554-42255,Caribbean
Yes,MX-2012-KT1646518-41017,South America
Yes,MX-2015-AS1028518-42351,South America
Yes,MX-2015-SC2068082-42231,Central America
Yes,ES-2014-MW1822048-41998,Western Europe
Yes,MX-2013-MF1766551-41402,Central America
Yes,CA-2014-JM15535140-41998,Eastern US
Yes,CA-2012-CC247523-41031,Eastern Canada
Yes,CA-2012-NC18535140-41112,Western US
Yes,IN-2013-MM172607-41395,Oceania
Yes,IN-2013-PR1888027-41430,Eastern Asia
Yes,NI-2014-RA994595-41979,Western Africa
Yes,US-2012-RB19435140-41237,Western US
Yes,ES-2014-LP17095139-41772,Northern Europe
Yes,MX-2014-FA1423055-41976,Central America
Yes,IN-2014-SH19975130-41975,Southeastern Asia
Yes,CA-2014-GK14620140-41753,Western US
Yes,US-2012-DK1289598-41166,Central America
Yes,ES-2014-AB10165139-41888,Northern Europe
Yes,US-2014-SP20860140-41968,Western US
Yes,IT-2012-GD1459091-40988,Western Europe
Yes,IN-2014-NB1865527-41858,Eastern Asia
Yes,PL-2012-JD5790103-41249,Eastern Europe
Yes,KE-2015-JH598569-42317,Eastern Africa
Yes,MX-2014-DC1328518-41751,South America
Yes,ES-2014-HG1502548-41783,Western Europe
Yes,IV-2014-AM70529-41678,Western Africa
Yes,RO-2014-ND8370107-41839,Eastern Europe
Yes,EG-2015-AY55538-42121,North Africa
Yes,MO-2014-KH669086-41830,North Africa
Yes,IN-2014-SR2074027-41767,Eastern Asia
Yes,IN-2013-MF176657-41300,Oceania
Yes,ES-2013-HM1498064-41289,Southern Europe
Yes,MX-2015-DL1331582-42335,Central America
Yes,US-2013-MW1822036-41387,Caribbean
Yes,US-2014-BG11695140-42001,Central US
Yes,MX-2014-SW2075582-41811,Central America
Yes,MO-2014-MO795086-41706,North Africa
Yes,MX-2015-PO1885082-42279,Central America
Yes,US-2014-DR12880140-41723,Western US
Yes,CA-2012-AG10525140-41153,Central US
Yes,IT-2013-KH1669045-41490,Western Europe
Yes,US-2012-JP155205-41153,South America
Yes,CG-2015-AM70533-42233,Central Africa
Yes,CA-2015-AJ10945140-42248,Central US
Yes,MX-2013-SO2033526-41400,South America
Yes,IN-2012-TS2150559-40990,Southeastern Asia
Yes,CA-2015-MV17485140-42333,Western US
Yes,IN-2015-SC2038027-42306,Eastern Asia
Yes,IT-2012-JC1610564-41053,Southern Europe
Yes,CA-2015-LE16810140-42348,Western US
Yes,US-2013-BB1099036-41379,Caribbean
Yes,TU-2013-AH195134-41319,Western Asia
Yes,MX-2014-TS2120518-41791,South America
Yes,IR-2012-FH436560-41114,Southern Asia
Yes,MX-2014-SH2039582-41895,Central America
Yes,US-2014-GT14710140-41980,Western US
Yes,IR-2014-BN151560-41880,Southern Asia
Yes,ES-2012-SH2039545-40914,Western Europe
Yes,SA-2013-SC10260110-41451,Western Asia
Yes,CA-2014-BD11605140-41742,Southern US
Yes,IN-2012-VD2167059-41269,Southeastern Asia
Yes,ES-2015-MY17380120-42316,Southern Europe
Yes,CA-2015-LC16870140-42091,Southern US
Yes,IN-2012-TR2132527-41188,Eastern Asia
Yes,IN-2014-JC1538558-41815,Southern Asia
Yes,MX-2012-NG1843018-41201,South America
Yes,EG-2015-DM301538-42367,North Africa
Yes,BU-2014-CS186019-41993,Eastern Europe
Yes,ID-2014-CT11995118-41810,Eastern Asia
Yes,IN-2012-EH139907-41140,Oceania
Yes,CA-2012-RD19585140-41000,Southern US
Yes,CA-2015-CW11905140-42138,Eastern US
Yes,MX-2014-NC1862593-41955,Central America
Yes,MX-2013-RB1936082-41552,Central America
Yes,IN-2012-AS1028527-41034,Eastern Asia
Yes,IN-2014-AO108107-41721,Oceania
Yes,MX-2015-HG1484536-42070,Caribbean
Yes,ID-2015-JE1561097-42193,Southern Asia
Yes,ES-2014-CY1274564-41726,Southern Europe
Yes,IR-2014-SM1095060-41746,Southern Asia
Yes,US-2012-PB1915055-41157,Central America
Yes,ES-2014-JB1600048-41856,Western Europe
Yes,ES-2015-JC1577548-42328,Western Europe
Yes,IT-2014-LP1708091-41907,Western Europe
Yes,MX-2012-ME1732018-41164,South America
Yes,CA-2014-TS21655140-41999,Southern US
Yes,ES-2015-SV20935139-42369,Northern Europe
Yes,MX-2015-CJ12010141-42298,South America
Yes,CA-2012-SH20395140-41214,Western US
Yes,IN-2013-GM1445527-41622,Eastern Asia
Yes,CA-2013-MS17530140-41579,Southern US
Yes,US-2013-HD1478598-41583,Central America
Yes,US-2015-CB1202582-42305,Central America
Yes,CA-2015-BH11710140-42346,Southern US
Yes,MX-2012-MO1750016-41222,South America
Yes,ES-2012-MG17890139-41257,Northern Europe
Yes,CA-2013-PO19195140-41598,Eastern US
Yes,ES-2015-KW1643545-42032,Western Europe
Yes,CA-2013-SS20515140-41479,Southern US
Yes,MX-2012-RL1961539-40965,Central America
Yes,MX-2014-SZ2003531-41822,Caribbean
Yes,ID-2013-BT115307-41508,Oceania
Yes,MX-2012-TG2131018-41132,South America
Yes,CA-2012-TT21070140-41159,Southern US
Yes,CA-2015-TS21505140-42316,Western US
Yes,ES-2013-AW1084064-41519,Southern Europe
Yes,CA-2015-DV13045140-42350,Southern US
Yes,ES-2015-BP11185139-42175,Northern Europe
Yes,US-2015-EB13930140-42208,Central US
Yes,ES-2014-RS1942048-41831,Western Europe
Yes,CG-2012-MM828033-40983,Central Africa
Yes,MX-2013-JD1589536-41523,Caribbean
Yes,IN-2014-DB1291027-41870,Eastern Asia
Yes,ES-2014-DV1346564-41961,Southern Europe
Yes,MX-2015-JK1564055-42174,Central America
Yes,CA-2015-LW17215140-42106,Western US
Yes,MX-2012-PM1894031-41208,Caribbean
Yes,BU-2012-EH394519-41265,Eastern Europe
Yes,MX-2012-VM2183551-41185,Central America
Yes,CA-2012-AZ10750140-40992,Eastern US
Yes,IT-2015-KB1631564-42301,Southern Europe
Yes,IT-2015-EK13795139-42277,Northern Europe
Yes,ID-2015-AS1009058-42316,Southern Asia
Yes,MX-2015-MC1742593-42304,Central America
Yes,MX-2014-DW1358531-41779,Caribbean
Yes,ES-2015-AB1016545-42356,Western Europe
Yes,MX-2015-DG1330093-42319,Central America
Yes,MX-2013-SW2027536-41587,Caribbean
Yes,MX-2015-SP2065082-42257,Central America
Yes,IN-2014-CC125507-41963,Oceania
Yes,ES-2015-CW11905139-42288,Northern Europe
Yes,ZA-2015-SW10350146-42061,Eastern Africa
Yes,IN-2015-PR1888027-42125,Eastern Asia
Yes,ES-2014-DB1327045-41689,Western Europe
Yes,ES-2012-PM1894045-41145,Western Europe
Yes,CA-2013-AG10495140-41571,Central US
Yes,ES-2012-CD1198048-41151,Western Europe
Yes,ES-2015-SF20200139-42229,Northern Europe
Yes,MX-2012-BD1150093-41041,Central America
Yes,ES-2015-BE11410120-42225,Southern Europe
Yes,BN-2012-RW963015-41216,Western Africa
Yes,US-2014-HP148155-41906,South America
Yes,ES-2015-BF11170139-42174,Northern Europe
Yes,IN-2015-DB129707-42152,Oceania
Yes,CA-2012-EH13765140-41199,Eastern US
Yes,IN-2012-BB115457-41194,Oceania
Yes,IN-2012-SG206057-40978,Oceania
Yes,IN-2015-RH1951011-42040,Southern Asia
Yes,ZA-2014-JW6075146-41739,Eastern Africa
Yes,ES-2012-JA15970139-41080,Northern Europe
Yes,IN-2012-JR1567027-41031,Eastern Asia
Yes,ES-2013-JE1547545-41450,Western Europe
Yes,IT-2014-LS1720064-41954,Southern Europe
Yes,IN-2014-CA1226527-41794,Eastern Asia
Yes,UP-2014-AA645137-41807,Eastern Europe
Yes,NI-2014-MH745595-41696,Western Africa
Yes,ID-2015-EJ1415592-42299,Oceania
Yes,ID-2014-KD1649559-41807,Southeastern Asia
Yes,ES-2014-DK1298548-41711,Western Europe
Yes,BU-2014-MH745519-41670,Eastern Europe
Yes,ID-2015-NR18550102-42078,Southeastern Asia
Yes,IN-2012-JH1591027-41262,Eastern Asia
Yes,IN-2012-JL151307-40988,Oceania
Yes,IT-2015-AG1049545-42229,Western Europe
Yes,CA-2014-JF15565140-41686,Eastern US
Yes,IN-2014-SH2063527-41858,Eastern Asia
Yes,IN-2015-LD1700558-42285,Southern Asia
Yes,LO-2012-JL5850114-41121,Eastern Europe
Yes,BO-2014-KH636013-41859,Eastern Europe
Yes,US-2013-EM1382555-41579,Central America
Yes,IT-2015-MB1808591-42145,Western Europe
Yes,SF-2014-EL3735117-41875,Southern Africa
Yes,TU-2014-JF5565134-41818,Western Asia
Yes,MX-2014-BM1114055-41961,Central America
Yes,TU-2015-SW10275134-42311,Western Asia
Yes,ES-2014-SS208758-41683,Western Europe
Yes,US-2014-BW1120018-41979,South America
Yes,IN-2013-TD20995130-41609,Southeastern Asia
Yes,ES-2015-KB1660096-42048,Northern Europe
Yes,IN-2015-Dl1360058-42364,Southern Asia
Yes,ES-2014-MB18085139-41956,Northern Europe
Yes,IT-2015-AR10345139-42116,Northern Europe
Yes,IN-2013-JG1531027-41602,Eastern Asia
Yes,ES-2014-MC1810045-41982,Western Europe
Yes,CA-2015-HG15025140-42363,Eastern US
Yes,MO-2015-AB25586-42117,North Africa
Yes,US-2012-CS1246036-41247,Caribbean
Yes,ES-2014-JD1606045-41699,Western Europe
Yes,MX-2013-EM1381018-41552,South America
Yes,MX-2015-MY1829582-42321,Central America
Yes,CA-2015-KH16330140-42329,Eastern US
Yes,ES-2014-MG18205139-41867,Northern Europe
Yes,CA-2015-DO13645140-42343,Eastern US
Yes,IN-2014-ML177557-41922,Oceania
Yes,SA-2015-AR570110-42299,Western Asia
Yes,US-2015-LH16900140-42348,Central US
Yes,CA-2015-JE15745140-42111,Western US
Yes,CA-2013-MV17485140-41450,Central US
Yes,IT-2012-KH16690104-41037,Southern Europe
Yes,IN-2015-SL2015558-42222,Southern Asia
Yes,MX-2012-KM1672018-41242,South America
Yes,ID-2014-DB132107-41934,Oceania
Yes,IN-2012-CM1223527-41248,Eastern Asia
Yes,IN-2014-BD116207-41650,Oceania
Yes,CA-2015-OT18730140-42304,Southern US
Yes,AO-2013-JE57454-41544,Central Africa
Yes,EG-2014-SC1009538-41847,North Africa
Yes,ID-2013-GZ144707-41467,Oceania
Yes,ES-2015-MJ17740139-42073,Northern Europe
Yes,IR-2014-MM805560-41990,Southern Asia
Yes,IT-2014-TP2141545-41858,Western Europe
Yes,ID-2013-TG21640102-41508,Southeastern Asia
Yes,IN-2014-LS172307-41954,Oceania
Yes,IN-2012-GM1444058-41200,Southern Asia
Yes,TU-2012-AJ960134-40990,Western Asia
Yes,CA-2014-PF19225140-41817,Southern US
Yes,IN-2014-TB2162558-41724,Southern Asia
Yes,MX-2012-ND1837082-41223,Central America
Yes,ID-2015-MG1814592-42132,Oceania
Yes,CA-2014-CA12265140-41677,Southern US
Yes,SF-2012-MH7440117-41065,Southern Africa
Yes,MX-2012-AB1015093-41101,Central America
Yes,IZ-2015-EM396061-42110,Western Asia
Yes,IN-2015-AW1084058-42083,Southern Asia
Yes,ES-2015-PS1897045-42179,Western Europe
Yes,ES-2013-WB2185064-41587,Southern Europe
Yes,CA-2015-NC18535140-42096,Western US
Yes,MX-2014-LS1697518-41666,South America
Yes,IN-2012-SB2018559-41157,Southeastern Asia
Yes,ML-2014-BD177079-41893,Western Africa
Yes,MX-2015-CM1244582-42354,Central America
Yes,MX-2012-AW1084082-41192,Central America
Yes,MX-2015-CL1270093-42180,Central America
Yes,CA-2015-CC12475140-42278,Eastern US
Yes,MX-2014-AH1069093-41990,Central America
Yes,AO-2013-SF102004-41628,Central Africa
Yes,MX-2014-SZ2003518-41703,South America
Yes,EG-2015-RA994538-42342,North Africa
Yes,TU-2015-AG495134-42130,Western Asia
Yes,IN-2012-PR1888058-41013,Southern Asia
Yes,ES-2015-CS1235548-42010,Western Europe
Yes,IN-2015-MH1811558-42185,Southern Asia
Yes,IN-2015-JP1546058-42258,Southern Asia
Yes,IR-2015-CA196560-42201,Southern Asia
Yes,MX-2013-AF1087026-41536,South America
Yes,US-2012-JF15490140-41269,Western US
Yes,IN-2015-PS18760102-42263,Southeastern Asia
Yes,ES-2014-KT1646548-41678,Western Europe
Yes,ES-2014-MC1760548-41900,Western Europe
Yes,MX-2014-BE1145531-41650,Caribbean
Yes,CA-2015-BP11095140-42352,Eastern US
Yes,CG-2014-ML775533-41740,Central Africa
Yes,ID-2014-CV1280527-41773,Eastern Asia
Yes,SA-2013-RF9840110-41277,Western Asia
Yes,SF-2012-AG675117-40976,Southern Africa
Yes,US-2015-CR12820140-42284,Eastern US
Yes,ES-2013-MB1808545-41629,Western Europe
Yes,IN-2015-SC20260130-42032,Southeastern Asia
Yes,IN-2012-TS211607-41179,Oceania
Yes,IZ-2015-MO795061-42271,Western Asia
Yes,MX-2014-LL1684039-41853,Central America
Yes,ES-2013-EB14110139-41528,Northern Europe
Yes,CA-2015-BT11530140-42278,Western US
Yes,ES-2013-LC1714064-41409,Southern Europe
Yes,US-2013-DG13300140-41458,Eastern US
Yes,CA-2014-IG15085140-41808,Western US
Yes,ES-2015-LO17170139-42166,Northern Europe
Yes,IN-2015-SS2059059-42364,Southeastern Asia
Yes,AG-2014-CP20853-41889,North Africa
Yes,US-2012-AB1025582-40928,Central America
Yes,TU-2014-PK8910134-41798,Western Asia
Yes,IT-2015-JW1522091-42234,Western Europe
Yes,CA-2013-RH19510140-41544,Western US
Yes,ES-2014-DM13015120-41856,Southern Europe
Yes,NI-2013-JB600095-41621,Western Africa
Yes,US-2015-TC2114555-42166,Central America
Yes,IT-2013-DJ1351064-41352,Southern Europe
Yes,IN-2012-DB131207-41257,Oceania
Yes,IZ-2015-EH412561-42161,Western Asia
Yes,US-2013-KB16315140-41318,Eastern US
Yes,CA-2015-CV12805140-42025,Eastern US
Yes,MX-2015-AG1052518-42357,South America
Yes,IN-2012-MP179657-41242,Oceania
Yes,IN-2015-PG1882097-42251,Southern Asia
Yes,ES-2012-SW2024548-41073,Western Europe
Yes,IT-2012-MC1742548-41177,Western Europe
Yes,TU-2012-CS1845134-41235,Western Asia
Yes,CA-2015-SC20725140-42182,Eastern US
Yes,ES-2015-TP21415139-42251,Northern Europe
Yes,CA-2015-RA19915140-42357,Western US
Yes,ES-2014-SV2093545-41674,Western Europe
Yes,KZ-2015-RM975068-42228,Central Asia
Yes,KG-2015-RH955570-42340,Central Asia
Yes,IT-2015-JS1603045-42229,Western Europe
Yes,CA-2015-LW16990140-42336,Western US
Yes,IN-2015-SS2059059-42236,Southeastern Asia
Yes,IN-2012-LH1715559-40968,Southeastern Asia
Yes,US-2015-TT21220140-42186,Western US
Yes,SF-2015-RS9765117-42224,Southern Africa
Yes,ID-2014-JF153557-41649,Oceania
Yes,IT-2014-CA12310139-41961,Northern Europe
Yes,ES-2015-SL2015545-42335,Western Europe
Yes,IT-2014-DB1312091-41894,Western Europe
Yes,IT-2015-DB13555139-42063,Northern Europe
Yes,CA-2012-DB13360140-41231,Western US
